index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_race_Caucasian_min_fpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
120,f6923eaee1676a0d35f02266e5235350,8af4d05f9e78c6f9c9454b9ef9cf6f7a,0.78387,9ffb24413922c99786a63153f3528839,e743f0bb309e30164a1aaadae913e28a,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0010626604225353804, 'model__dropout': 0.04991922621668668, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [50, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,3.0,3.0,33.333,0.78387,0.35991,{'alpha': 1},validation,fpr = 10,0.78387,0.35991,1,0.3333,HB,0.72468,0.45562,COMPAS,precision,race_Caucasian_min_fpr_disparity
156,f6923eaee1676a0d35f02266e5235350,8d61c2da38033b099ae25fb1330e0681,0.8525,3e8f164b9fa12b3323e2d276e833536d,b3904445d5a1683d1844f34fd45f58b4,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0021936347596752423, 'model__dropout': 0.05546408596799823, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [50, 25], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,3.0,1.0,11.0,11.111,0.74906,0.95594,{'alpha': 0.5},validation,fpr = 10,0.74906,0.95594,0.5,0.1111,FB (alpha=0.5),0.72,0.92628,COMPAS,precision,race_Caucasian_min_fpr_disparity
3,f6923eaee1676a0d35f02266e5235350,8d956f3c52da731d1d9db951cf590a5d,0.78033,e84437eec3ff6f94d4734aacec8f8067,7254b377453f60504dde2406fa51ff2e,sklearn.linear_model.LogisticRegression,"{'C': 1, 'tol': 0.008127981271971438, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 1198}",,RandomSearch,,,,100.0,0.78033,0.51752,{'alpha': 1},validation,fpr = 10,0.78033,0.51752,1,,RS,0.72635,0.50043,COMPAS,precision,race_Caucasian_min_fpr_disparity
5,f6923eaee1676a0d35f02266e5235350,99969718c1a8aa76ddd024c84c921d63,0.75992,79ecd574fdad79fbb34d0e90baf79365,09342fb8d87930b81561e3dcda4b01b0,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0006752866957568893, 'model__dropout': 0.3213833103945981, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [50, 50], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.53793,0.98191,{'alpha': 0.5},validation,fpr = 10,0.53793,0.98191,0.5,,RS (alpha=0.5),0.53503,0.6164,COMPAS,precision,race_Caucasian_min_fpr_disparity
20,f6923eaee1676a0d35f02266e5235350,9cad58dae2e60545487e707620432078,0.77888,e6900fddbb36ae73d4cea2d61060201d,28e46ddfcdfd1a6f572df69ac6e1fae7,sklearn.linear_model.LogisticRegression,"{'C': 0.1, 'tol': 0.0005977521659070668, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 1478}",,RandomSearch,,,,100.0,0.77888,0.47585,{'alpha': 1},validation,fpr = 10,0.77888,0.47585,1,,RS,0.72789,0.44312,COMPAS,precision,race_Caucasian_min_fpr_disparity
67,f6923eaee1676a0d35f02266e5235350,a18673cbc67ffaed0756d3a9b2bc5604,0.78964,5970ee4b1a648e52df05d9158574e9c8,d598a0c90fdd3713995dd66bcd7631bf,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0006284090309200002, 'model__dropout': 0.2590714449873874, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [50], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0}",,Hyperband,4.0,0.0,81.0,1.235,0.69266,0.95594,{'alpha': 'dynamic'},validation,fpr = 10,0.69266,0.95594,dynamic,0.0123,FB,0.69683,0.8519,COMPAS,precision,race_Caucasian_min_fpr_disparity
131,f6923eaee1676a0d35f02266e5235350,a636e09528784c69d42d0f96abf3e2ef,0.87216,9f84a427e91241d9bc7696d7dd1922be,ee4f66742caabdfbe6c6e7d96192dc2a,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0016036967053279533, 'model__dropout': 0.14492179113796988, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.76241,0.98191,{'alpha': 0.5},validation,fpr = 10,0.76241,0.98191,0.5,0.037,FB (alpha=0.5),0.70803,0.86791,COMPAS,precision,race_Caucasian_min_fpr_disparity
6,f6923eaee1676a0d35f02266e5235350,b1711f3357fb7b5f0cc9bd374efb94f9,0.75228,c0c62f34a936ebe67f724431f9f7d214,d670eb5fceac92304d4da0e22bdd5589,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0012254030009370633, 'model__dropout': 0.2771477560813907, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [50, 50], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.58385,0.92071,{'alpha': 0.5},validation,fpr = 10,0.58385,0.92071,0.5,,RS (alpha=0.5),0.53514,0.59083,COMPAS,precision,race_Caucasian_min_fpr_disparity
82,f6923eaee1676a0d35f02266e5235350,b4b4eb086f6c8dbed98bae3320f83d4b,0.79852,0e1360278e7a742ab75d371874c2af57,c635cfca822ad784ef2370e98801edb7,sklearn.linear_model.LogisticRegression,"{'C': 0.001, 'tol': 0.0004382829101657063, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 1897}",,Hyperband,4.0,1.0,27.0,3.704,0.67633,0.92071,{'alpha': 0.5},validation,fpr = 10,0.67633,0.92071,0.5,0.037,FB (alpha=0.5),0.60811,0.5166,COMPAS,precision,race_Caucasian_min_fpr_disparity
156,f6923eaee1676a0d35f02266e5235350,c0cc13503bb30e17bf233d13929f1ccf,0.83699,404d0cecf534e3701735f03b1ff5e799,2464ddaa93dd2d5abf9eabeebf5f435b,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0037619978479053254, 'model__dropout': 0.12882964597325652, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,1.0,11.0,11.111,0.74717,0.98191,{'alpha': 'dynamic'},validation,fpr = 10,0.74717,0.98191,dynamic,0.1111,FB,0.6722,0.96228,COMPAS,precision,race_Caucasian_min_fpr_disparity
23,f6923eaee1676a0d35f02266e5235350,c10c737adc31e8b516b9d37b348fa4e3,0.81535,9c74b3232f4c0a4d0c96f54680ea34cf,8e744bbc6b32a5c31b0d17f426d6ab80,lightgbm.LGBMClassifier,"{'max_depth': 79, 'num_leaves': 19, 'n_estimators': 134, 'boosting_type': 'gbdt', 'learning_rate': 0.060497179392851215, 'min_child_samples': 14}",,Hyperband,4.0,0.0,81.0,1.235,0.67476,0.95594,{'alpha': 0.5},validation,fpr = 10,0.67476,0.95594,0.5,0.0123,FB (alpha=0.5),0.65854,0.84795,COMPAS,precision,race_Caucasian_min_fpr_disparity
145,f6923eaee1676a0d35f02266e5235350,c2b5577a55fd8db6e272f42c5e4c0a08,0.87341,d2ecb48e1e8a8606606062ea1f4d1227,7d936192cb4eb304cabc281de22303be,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0043734068057805706, 'model__dropout': 0.09803406891733345, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,3.0,0.0,34.0,3.704,0.76491,0.98191,{'alpha': 0.5},validation,fpr = 10,0.76491,0.98191,0.5,0.037,FB (alpha=0.5),0.70508,0.80637,COMPAS,precision,race_Caucasian_min_fpr_disparity
20,f6923eaee1676a0d35f02266e5235350,c544b994a8dea5773d7a55c28b429659,0.77888,bf27a49835cffbb9f77581af25bbb2c3,b19dc787cb1e6cf8cb0ba822e831bcc7,sklearn.linear_model.LogisticRegression,"{'C': 1, 'tol': 0.0008221146529272549, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 5456}",,RandomSearch,,,,100.0,0.77888,0.47585,{'alpha': 1},validation,fpr = 10,0.77888,0.47585,1,,RS,0.72575,0.49236,COMPAS,precision,race_Caucasian_min_fpr_disparity
11,f6923eaee1676a0d35f02266e5235350,c80dee9e81743f64c9991c6e023cf71b,0.77288,bbe81a2132bfa155490162bd30e4e0c7,e43c33975b5d5f2023a587213ea840c9,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0036866251819823287, 'model__dropout': 0.08919001729944608, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.77288,0.35991,{'alpha': 1},validation,fpr = 10,0.77288,0.35991,1,,RS,0.75824,0.41093,COMPAS,precision,race_Caucasian_min_fpr_disparity
101,f6923eaee1676a0d35f02266e5235350,c9ab3c86614d5442c338579fa12cb1db,0.75868,71c9a56fe1d9edfaa5e38f6de6144bc4,6ab9bc8fd0f5e2993a6eb31db1aa47df,lightgbm.LGBMClassifier,"{'max_depth': 66, 'num_leaves': 250, 'n_estimators': 675, 'boosting_type': 'dart', 'learning_rate': 0.011707582728556726, 'min_child_samples': 6}",,Hyperband,4.0,1.0,27.0,3.704,0.64737,0.98191,{'alpha': 'dynamic'},validation,fpr = 10,0.64737,0.98191,dynamic,0.037,FB,0.60638,0.98363,COMPAS,precision,race_Caucasian_min_fpr_disparity
3,f6923eaee1676a0d35f02266e5235350,ccf7c9144bb3dedb61a0c478f1a380f3,0.73277,cac20961f64ed90b59d08983b4372170,2c2a624ced218a02f5980182cd0938ce,sklearn.tree.DecisionTreeClassifier,"{'splitter': 'best', 'criterion': 'entropy', 'max_depth': 26, 'min_samples_leaf': 13, 'min_samples_split': 6}",,RandomSearch,,,,100.0,0.71245,0.75308,{'alpha': 0.5},validation,fpr = 10,0.71245,0.75308,0.5,,RS (alpha=0.5),0.69697,0.79634,COMPAS,precision,race_Caucasian_min_fpr_disparity
16,f6923eaee1676a0d35f02266e5235350,d2b9987958672741a75b6914cf12132e,0.7159,c9beb194e403503027bc0401a8526df0,ed0fd22467e2961019b1a4ae2b3c0182,lightgbm.LGBMClassifier,"{'max_depth': 13, 'num_leaves': 138, 'n_estimators': 1934, 'boosting_type': 'gbdt', 'learning_rate': 0.0704145895055762, 'min_child_samples': 32}",,RandomSearch,,,,100.0,0.72984,0.70196,{'alpha': 0.5},validation,fpr = 10,0.72984,0.70196,0.5,,RS (alpha=0.5),0.69048,0.80805,COMPAS,precision,race_Caucasian_min_fpr_disparity
21,f6923eaee1676a0d35f02266e5235350,d30137e63e14da0a894d4083c9d00725,0.73144,90f36cc8c3ade709eb8a563a2e49caaa,55d21fd699cbc11afb3b49c972855357,sklearn.linear_model.LogisticRegression,"{'C': 1e-05, 'tol': 0.0007993788044804096, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 1534}",,RandomSearch,,,,100.0,0.65641,0.80647,{'alpha': 0.5},validation,fpr = 10,0.65641,0.80647,0.5,,RS (alpha=0.5),0.62679,0.49153,COMPAS,precision,race_Caucasian_min_fpr_disparity
16,f6923eaee1676a0d35f02266e5235350,d4adf59f84347faba8903d111e0a0a3c,0.77888,95c1e0adcd3f6581c55216d2c413ce2d,71bc9c4d3523c99872e0cb4b7701d215,sklearn.linear_model.LogisticRegression,"{'C': 0.1, 'tol': 7.410949237310235e-05, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 901}",,RandomSearch,,,,100.0,0.77888,0.47585,{'alpha': 1},validation,fpr = 10,0.77888,0.47585,1,,RS,0.72603,0.44312,COMPAS,precision,race_Caucasian_min_fpr_disparity
119,f6923eaee1676a0d35f02266e5235350,d6272ad60f3d1087c8766bac333be334,0.78387,236ba73457510752c7eda4bff11eebc0,bf4d240fc104dda79d3d17318f725e4d,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0026350246821060575, 'model__dropout': 0.3988792913575088, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,3.0,3.0,33.333,0.78387,0.56087,{'alpha': 1},validation,fpr = 10,0.78387,0.56087,1,0.3333,HB,0.75168,0.4906,COMPAS,precision,race_Caucasian_min_fpr_disparity
149,f6923eaee1676a0d35f02266e5235350,d788d9259a0395541cf44bab63c95f42,0.82503,dd734f044f40eb9dd71c288b03563dbf,d3d643c086becaa0c44108e6f6385c01,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.004922110116581338, 'model__dropout': 0.19973129100457446, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,3.0,0.0,34.0,3.704,0.75636,0.92071,{'alpha': 'dynamic'},validation,fpr = 10,0.75636,0.92071,dynamic,0.037,FB,0.73004,0.94887,COMPAS,precision,race_Caucasian_min_fpr_disparity
12,f6923eaee1676a0d35f02266e5235350,d8430625c44abe8695141d9bec9ae3d1,0.77741,bc40e6dd10db5236134f3f807874bc1c,706b9a1b0cb13fd834685f617c3a7c7c,sklearn.linear_model.LogisticRegression,"{'C': 1, 'tol': 0.0008230341591083035, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 3183}",,RandomSearch,,,,100.0,0.77741,0.47585,{'alpha': 1},validation,fpr = 10,0.77741,0.47585,1,,RS,0.72881,0.47541,COMPAS,precision,race_Caucasian_min_fpr_disparity
177,f6923eaee1676a0d35f02266e5235350,d8a1e23434b51e02c3d7cf6dbc1fd404,0.80276,e65b973f2598803d51247d317a694486,3d80e221174e1e9d792f26c7661d7155,lightgbm.LGBMClassifier,"{'max_depth': 21, 'num_leaves': 59, 'n_estimators': 3062, 'boosting_type': 'gbdt', 'learning_rate': 0.07418759187538677, 'min_child_samples': 19}",,Hyperband,2.0,0.0,15.0,11.111,0.6236,0.98191,{'alpha': 0.5},validation,fpr = 10,0.6236,0.98191,0.5,0.1111,FB (alpha=0.5),0.59429,0.94887,COMPAS,precision,race_Caucasian_min_fpr_disparity
176,f6923eaee1676a0d35f02266e5235350,dc60fff47e912f58086257477a419012,0.83067,ad97fb88c1cd30ae65e779df48f2f8a9,c3d6214af81d1773d2db062668853b5b,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.002759938170014204, 'model__dropout': 0.05165511184833904, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,2.0,0.0,15.0,11.111,0.76491,0.92071,{'alpha': 'dynamic'},validation,fpr = 10,0.76491,0.92071,dynamic,0.1111,FB,0.74007,0.97146,COMPAS,precision,race_Caucasian_min_fpr_disparity
5,f6923eaee1676a0d35f02266e5235350,def8dc536c5c249a2fbb2c133c0a4e63,0.69731,e25a98b7f8badf0395e7e29afe2bdcb7,b78f8a540cdddba2c12119d02fbf6bff,lightgbm.LGBMClassifier,"{'max_depth': 34, 'num_leaves': 107, 'n_estimators': 4268, 'boosting_type': 'goss', 'learning_rate': 0.5041843744997374, 'min_child_samples': 74}",,RandomSearch,,,,100.0,0.69266,0.70196,{'alpha': 0.5},validation,fpr = 10,0.69266,0.70196,0.5,,RS (alpha=0.5),0.63462,0.74819,COMPAS,precision,race_Caucasian_min_fpr_disparity
154,f6923eaee1676a0d35f02266e5235350,e109187780a820aad2fd5b8265d92253,0.83499,3487359d6421d6e3ce2872f28c79d2a9,44e48e2c36d281cb89848644157f1edf,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0026761773514399024, 'model__dropout': 0.12397884765141526, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.75458,0.95594,{'alpha': 'dynamic'},validation,fpr = 10,0.75458,0.95594,dynamic,0.037,FB,0.72453,0.88765,COMPAS,precision,race_Caucasian_min_fpr_disparity
14,f6923eaee1676a0d35f02266e5235350,e13c025a9606f2774765e772c30dd8a4,0.67365,4e540a6a8c53f98c9fa64764c4751a7a,6ef00cd20e04af152f14bbd14c01329d,lightgbm.LGBMClassifier,"{'max_depth': 41, 'num_leaves': 84, 'n_estimators': 1816, 'boosting_type': 'gbdt', 'learning_rate': 0.019902167830849554, 'min_child_samples': 25}",,RandomSearch,,,,100.0,0.74131,0.60598,{'alpha': 0.5},validation,fpr = 10,0.74131,0.60598,0.5,,RS (alpha=0.5),0.70182,0.83515,COMPAS,precision,race_Caucasian_min_fpr_disparity
3,f6923eaee1676a0d35f02266e5235350,e3d4e42cc245dc1b4261d8749128cb54,0.77741,aed955c5972eae8504ad21cef6e652d2,055af9dac312697122287d532f4ea7f4,sklearn.linear_model.LogisticRegression,"{'C': 1, 'tol': 0.003109564536747311, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 1909}",,RandomSearch,,,,100.0,0.77741,0.47585,{'alpha': 1},validation,fpr = 10,0.77741,0.47585,1,,RS,0.72881,0.47541,COMPAS,precision,race_Caucasian_min_fpr_disparity
32,f6923eaee1676a0d35f02266e5235350,ead5ecd7b7c09ff86bd3d9a0172fdf8b,0.78033,1a7d76711f18c926d78285c41f28cb70,63400f078262014cb086ff76dbba89a0,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0024552809108202493, 'model__dropout': 0.30836972178788796, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,0.0,81.0,1.235,0.78033,0.35991,{'alpha': 1},validation,fpr = 10,0.78033,0.35991,1,0.0123,HB,0.74483,0.42105,COMPAS,precision,race_Caucasian_min_fpr_disparity
14,f6923eaee1676a0d35f02266e5235350,ec5d43f34bc919b4ed587224e291949c,0.77961,b6a8eba086d6168f1a0dca75d6ff3668,820fea40e7102a0723ccf3bd3720af33,lightgbm.LGBMClassifier,"{'max_depth': 12, 'num_leaves': 4, 'n_estimators': 3585, 'boosting_type': 'dart', 'learning_rate': 0.04352898654308968, 'min_child_samples': 32}",,RandomSearch,,,,100.0,0.77961,0.43575,{'alpha': 1},validation,fpr = 10,0.77961,0.43575,1,,RS,0.73667,0.45039,COMPAS,precision,race_Caucasian_min_fpr_disparity
157,f6923eaee1676a0d35f02266e5235350,ee7bca09f8db383fe4405009b056538a,0.84042,880670ff88979ec957ff3bee1f1c65f8,207686fcd92cc9edbac289622da03ecb,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.001931340349249538, 'model__dropout': 0.3365243126775172, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,3.0,1.0,11.0,11.111,0.75185,0.98191,{'alpha': 'dynamic'},validation,fpr = 10,0.75185,0.98191,dynamic,0.1111,FB,0.71536,0.80933,COMPAS,precision,race_Caucasian_min_fpr_disparity
149,f6923eaee1676a0d35f02266e5235350,eecc1af55d82e691b71967bc3ffcca7e,0.81759,f4dd78106ac4b4088bb4acbfc9f46c66,89a83cf638544df757e17f38d84884c0,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0011504244594103886, 'model__dropout': 0.0033813558668273737, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,3.0,0.0,34.0,3.704,0.74525,0.92071,{'alpha': 'dynamic'},validation,fpr = 10,0.74525,0.92071,dynamic,0.037,FB,0.72835,0.86722,COMPAS,precision,race_Caucasian_min_fpr_disparity
50,f6923eaee1676a0d35f02266e5235350,f1fd409ec57a28d7345604704a99da83,0.81535,51c85d9bc7d84578e6642cf6826f884f,4e0ff40de506f81e67182dda1394601a,lightgbm.LGBMClassifier,"{'max_depth': 15, 'num_leaves': 293, 'n_estimators': 373, 'boosting_type': 'goss', 'learning_rate': 0.03623665012373222, 'min_child_samples': 6}",,Hyperband,4.0,0.0,81.0,1.235,0.67476,0.95594,{'alpha': 0.5},validation,fpr = 10,0.67476,0.95594,0.5,0.0123,FB (alpha=0.5),0.6631,0.93927,COMPAS,precision,race_Caucasian_min_fpr_disparity
108,f6923eaee1676a0d35f02266e5235350,f69bb046a4441b071b5a02eb12076ede,0.84363,807e70d30dc0e67874617a45fa23cbb7,d516120bf7e03cf88e48ee3c51a37530,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0010618866183970772, 'model__dropout': 0.33786103025425257, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,1.0,27.0,3.704,0.76655,0.92071,{'alpha': 0.5},validation,fpr = 10,0.76655,0.92071,0.5,0.037,FB (alpha=0.5),0.72085,0.86714,COMPAS,precision,race_Caucasian_min_fpr_disparity
195,f6923eaee1676a0d35f02266e5235350,fad91f888a67f3802f0bcdabdb8a4454,0.77961,e0fa207142fdadf153b01d08ad9ae91d,0c495eedfff87519867ba2205c7d664b,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0021597643421694475, 'model__dropout': 0.3123888706660507, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,1.0,0.0,8.0,33.333,0.77961,0.39713,{'alpha': 1},validation,fpr = 10,0.77961,0.39713,1,0.3333,HB,0.72204,0.65056,COMPAS,precision,race_Caucasian_min_fpr_disparity
26,f6923eaee1676a0d35f02266e5235350,fb2d8a90d4999fef7916e22dddf6a3d1,0.82346,a749953e424b3356169bf29ddc9cab7d,21f7c34d26959340233d1a6de5fb6a61,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0006664505240850346, 'model__dropout': 0.2940717520040217, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 20], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,0.0,81.0,1.235,0.665,0.98191,{'alpha': 0.5},validation,fpr = 10,0.665,0.98191,0.5,0.0123,FB (alpha=0.5),0.62245,0.5653,COMPAS,precision,race_Caucasian_min_fpr_disparity
140,f6923eaee1676a0d35f02266e5235350,ff2651222ce437c34ce5975699e48a79,0.83898,1b042e9d704b10d7af13c09e944dd712,fc0b6e8382e8f1ef34146dea27aa9df4,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.004733893784400728, 'model__dropout': 0.13077274373337527, 'model__input_dim': 22, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [50, 25], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.75725,0.92071,{'alpha': 0.5},validation,fpr = 10,0.75725,0.92071,0.5,0.037,FB (alpha=0.5),0.71795,0.87356,COMPAS,precision,race_Caucasian_min_fpr_disparity
105,f6923eaee1676a0d35f02266e5235350,ffd8ccfc3c4f2d482a7af152755ecdc0,0.85277,adb10b8be79d02acad42e09bcdf7a1e7,2d2e47a4364b683df9b61868b7929183,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0033954836749161724, 'model__dropout': 0.24828159319345733, 'model__input_dim': 22, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [500, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.76897,0.98191,{'alpha': 'dynamic'},validation,fpr = 10,0.76897,0.98191,dynamic,0.037,FB,0.71898,0.92134,COMPAS,precision,race_Caucasian_min_fpr_disparity
