index,eval_experiment_uuid,run_uuid,metric_val,model_config_uuid,model_uuid,model_classpath,hyperparameters,class_ratio,task_type,si,i,ni,ri,performance,fairness,iteration_params,matrix_type,target_threshold,validation_precision,validation_poverty_level_min_tpr_disparity,alpha,eta_exp_budget,tuner,performance_test,fairness_test,dataset,performance_metric,fairness_metric
191,91b249c337937dc48b614bfd6625c807,74a2aa2687b995244f5b4b46c162fcce,0.76726,9ee8ff2fbe409f950abc579e00520000,565201e84e843d63fae924a5aebdd656,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.002323314171750154, 'model__dropout': 0.017743047242975908, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,2.0,2.0,1.0,100.0,0.553,0.98152,{'alpha': 0.5},validation,pp = 1000,0.553,0.98152,0.5,1.0,FB (alpha=0.5),0.522,0.81856,Donors Choose,precision,poverty_level_min_tpr_disparity
2,91b249c337937dc48b614bfd6625c807,7cc96340ec23800ea22b9a9cca27bf66,0.76389,8c11b62576520951946dc393503b7ebb,ddde45e21a58c379f28d96ba44c54664,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.000929916162767537, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 570}",,RandomSearch,,,,100.0,0.528,0.99978,{'alpha': 0.5},validation,pp = 1000,0.528,0.99978,0.5,,RS (alpha=0.5),0.508,0.77197,Donors Choose,precision,poverty_level_min_tpr_disparity
148,91b249c337937dc48b614bfd6625c807,82b1bd71d3ca2cccb396c5ad9b6e79d1,0.77139,570bfdb6f5b4e3eef3f8d7df8c21ceee,46a40ed14c26e4b3dbbf7f71629a806c,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.003955047445060038, 'model__dropout': 0.07481613320751856, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [500, 500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.553,0.98977,{'alpha': 0.5},validation,pp = 1000,0.553,0.98977,0.5,0.037,FB (alpha=0.5),0.491,0.95268,Donors Choose,precision,poverty_level_min_tpr_disparity
144,91b249c337937dc48b614bfd6625c807,8a71686c612b41378ce9e2da57510cd7,0.76115,2f62a188f12ad5a692391b79bba5823f,c4b2b5e0ebbb7d2ed82d81c86d5e81cc,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0018025654146960753, 'model__dropout': 0.29616773114665, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [100, 50], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,3.0,0.0,34.0,3.704,0.541,0.98129,{'alpha': 0.5},validation,pp = 1000,0.541,0.98129,0.5,0.037,FB (alpha=0.5),0.495,0.90732,Donors Choose,precision,poverty_level_min_tpr_disparity
11,91b249c337937dc48b614bfd6625c807,8bf5d9a623abdf22fde2410de6e60e29,0.72782,362dd40dfdd4d0afa994003755afdaed,4c9912440a46b0c323500260206ba531,sklearn.linear_model.LogisticRegression,"{'C': 1e-05, 'tol': 0.0029681316086300896, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 689}",,RandomSearch,,,,100.0,0.499,0.95665,{'alpha': 0.5},validation,pp = 1000,0.499,0.95665,0.5,,RS (alpha=0.5),0.489,0.88519,Donors Choose,precision,poverty_level_min_tpr_disparity
15,91b249c337937dc48b614bfd6625c807,942e5a1c9bb32d8f78a510b73f37ef43,0.75612,cb53f97e17cdf15b9117bc57dd7bc44f,fb254017a6374b686c7b478b5710de1a,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.002569394811455987, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 248}",,RandomSearch,,,,100.0,0.52,0.99223,{'alpha': 0.5},validation,pp = 1000,0.52,0.99223,0.5,,RS (alpha=0.5),0.506,0.79008,Donors Choose,precision,poverty_level_min_tpr_disparity
133,91b249c337937dc48b614bfd6625c807,963159f1fc2a3d8af3a42f558077bb04,0.65454,f3edb10d2d8bc1eb64e209b2423f9767,93a036189926b7adc3710ac802f8a0e7,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.000942992761087128, 'model__dropout': 0.012889004836199813, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,0.0,34.0,3.704,0.53,0.99975,{'alpha': 'dynamic'},validation,pp = 1000,0.53,0.99975,dynamic,0.037,FB,0.5,0.85455,Donors Choose,precision,poverty_level_min_tpr_disparity
170,91b249c337937dc48b614bfd6625c807,97d754b9169b653bdc28226ad04ca6a2,0.66803,781ce72d5bf9ec0f00c6c96ebd651972,1c96a68b68327fb7830abcab7e5b9dac,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0030784459744503424, 'model__dropout': 0.04184259960995003, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,3.0,3.0,1.0,100.0,0.545,0.98227,{'alpha': 'dynamic'},validation,pp = 1000,0.545,0.98227,dynamic,1.0,FB,0.519,0.82755,Donors Choose,precision,poverty_level_min_tpr_disparity
170,91b249c337937dc48b614bfd6625c807,9a13fd1e52fd388018da821bf5e43089,0.612,ac04efa014f7834d5576d7af2b925dec,f9d7de62e019837abced724f64c9b86e,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 26, 'max_features': 'sqrt', 'n_estimators': 213, 'min_samples_leaf': 6, 'min_samples_split': 13}",,Hyperband,3.0,3.0,1.0,100.0,0.612,0.31087,{'alpha': 1},validation,pp = 1000,0.612,0.31087,1,1.0,HB,0.529,0.40901,Donors Choose,precision,poverty_level_min_tpr_disparity
126,91b249c337937dc48b614bfd6625c807,9bee01be301fd4c2f5c04763b34e8f62,0.68644,fbb6d59bda5bc19446b8ac3bbd9561da,d31951febfc143e87eb08e0f56d33965,lightgbm.LGBMClassifier,"{'max_depth': 4, 'num_leaves': 164, 'n_estimators': 2197, 'boosting_type': 'goss', 'learning_rate': 0.022683964182704228, 'min_child_samples': 102}",,Hyperband,3.0,0.0,34.0,3.704,0.572,0.92666,{'alpha': 'dynamic'},validation,pp = 1000,0.572,0.92666,dynamic,0.037,FB,0.523,0.93611,Donors Choose,precision,poverty_level_min_tpr_disparity
191,91b249c337937dc48b614bfd6625c807,a0f75703064b2ee91dbd197b96e7686e,0.614,464feaff7e10c3df1de56340e3f9c7a5,009befd9dfb1c25e843189b7e84e56dd,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 23, 'max_features': 'log2', 'n_estimators': 199, 'min_samples_leaf': 7, 'min_samples_split': 13}",,Hyperband,2.0,2.0,1.0,100.0,0.614,0.277,{'alpha': 1},validation,pp = 1000,0.614,0.277,1,1.0,HB,0.545,0.31139,Donors Choose,precision,poverty_level_min_tpr_disparity
82,91b249c337937dc48b614bfd6625c807,a1e2b2699123fd0f4131d52df4c119b1,0.66681,6b67b474625723fcf499c51315fe738d,ef68454eb83d71899734232146e9bec0,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0011865198930535237, 'model__dropout': 0.35033195821836416, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200, 100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.544,0.97775,{'alpha': 'dynamic'},validation,pp = 1000,0.544,0.97775,dynamic,0.037,FB,0.492,0.91094,Donors Choose,precision,poverty_level_min_tpr_disparity
5,91b249c337937dc48b614bfd6625c807,a63ab57d424491d514fac0fe69999c4a,0.73235,2789a7948961535a2af8897c5e1fd392,e34b489cc0fa37503369da2231df08af,sklearn.linear_model.LogisticRegression,"{'C': 0.001, 'tol': 0.008381143298807011, 'solver': 'liblinear', 'penalty': 'l2', 'max_iter': 2417}",,RandomSearch,,,,100.0,0.527,0.93769,{'alpha': 0.5},validation,pp = 1000,0.527,0.93769,0.5,,RS (alpha=0.5),0.508,0.79055,Donors Choose,precision,poverty_level_min_tpr_disparity
15,91b249c337937dc48b614bfd6625c807,a6fbc1b0fb118514f30511149597742a,0.615,8df947bbdc4c723442bd06fb818900ab,e30e1d7ed7b76bfc96c9062e7b8e825b,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 22, 'max_features': 'sqrt', 'n_estimators': 155, 'min_samples_leaf': 5, 'min_samples_split': 41}",,RandomSearch,,,,100.0,0.615,0.26856,{'alpha': 1},validation,pp = 1000,0.615,0.26856,1,,RS,0.523,0.33898,Donors Choose,precision,poverty_level_min_tpr_disparity
10,91b249c337937dc48b614bfd6625c807,aabe8bcfd3f63ccb59ca32ec50062d45,0.74247,2701c2fecd8e704a12318b5593b427ec,d2de8f3382a40075ecb02c48f2ac418e,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0013506802577441107, 'model__dropout': 0.05767434331871586, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [200, 200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.545,0.93993,{'alpha': 0.5},validation,pp = 1000,0.545,0.93993,0.5,,RS (alpha=0.5),0.507,0.8656,Donors Choose,precision,poverty_level_min_tpr_disparity
71,91b249c337937dc48b614bfd6625c807,abe7bed96699ec0bd4b1f4979eb8321e,0.654,16dd68c42bf133751e6ad014d36f2a49,7742fd0775c276281718f2762b99c20d,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0009172497627241963, 'model__dropout': 0.11899343262161613, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [200], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,0.0,81.0,1.235,0.53,0.98527,{'alpha': 'dynamic'},validation,pp = 1000,0.53,0.98527,dynamic,0.0123,FB,0.507,0.93667,Donors Choose,precision,poverty_level_min_tpr_disparity
170,91b249c337937dc48b614bfd6625c807,af885ad3b8203b167af9c5c4492ace5d,0.613,99165afacb113871add6f39c59f0f56d,478ff17837e6dbd46d31a34b364c1cf0,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 'log2', 'n_estimators': 572, 'min_samples_leaf': 7, 'min_samples_split': 19}",,Hyperband,3.0,3.0,1.0,100.0,0.613,0.2723,{'alpha': 1},validation,pp = 1000,0.613,0.2723,1,1.0,HB,0.543,0.30688,Donors Choose,precision,poverty_level_min_tpr_disparity
15,91b249c337937dc48b614bfd6625c807,b0a144d43de953acb372e98e5177f4d1,0.607,7d9f681c6f2b560068302a677c151320,00b724d1db049fda42f76a729fed84de,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 24, 'max_features': 'sqrt', 'n_estimators': 319, 'min_samples_leaf': 14, 'min_samples_split': 58}",,RandomSearch,,,,100.0,0.607,0.25473,{'alpha': 1},validation,pp = 1000,0.607,0.25473,1,,RS,0.534,0.33909,Donors Choose,precision,poverty_level_min_tpr_disparity
202,91b249c337937dc48b614bfd6625c807,b355382eb565ca20418328b7d2536b09,0.613,f476eb9934cae3fba3b211290ddf63a1,d94af0b4227d6443e69c64020393acc9,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 19, 'max_features': 'log2', 'n_estimators': 211, 'min_samples_leaf': 2, 'min_samples_split': 24}",,Hyperband,0.0,0.0,5.0,100.0,0.613,0.27758,{'alpha': 1},validation,pp = 1000,0.613,0.27758,1,1.0,HB,0.539,0.35413,Donors Choose,precision,poverty_level_min_tpr_disparity
191,91b249c337937dc48b614bfd6625c807,b8c39013e1c774c5b9c72f262ec40761,0.76137,84f94fa75fd473c5846103852886e24c,d190dcd54a816a166cd58ba79dc7eeb0,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0007062252911444156, 'model__dropout': 0.01196763625808508, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [200], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,Hyperband,2.0,2.0,1.0,100.0,0.53,0.99273,{'alpha': 0.5},validation,pp = 1000,0.53,0.99273,0.5,1.0,FB (alpha=0.5),0.497,0.66646,Donors Choose,precision,poverty_level_min_tpr_disparity
12,91b249c337937dc48b614bfd6625c807,b98ddf443952aff84726b7da35e8a189,0.74889,92950aafa42e5aac8b4df05449feee65,45ffbe643f6f1f70d426ee0c34d9f011,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.00010037636530895571, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 780}",,RandomSearch,,,,100.0,0.517,0.98078,{'alpha': 0.5},validation,pp = 1000,0.517,0.98078,0.5,,RS (alpha=0.5),0.505,0.79933,Donors Choose,precision,poverty_level_min_tpr_disparity
121,91b249c337937dc48b614bfd6625c807,c1c0252690e1e00d3560d5dc643cff55,0.611,a1d7ca29d4f26e15453b640980af2de0,ef6e7cf493ed4355cd426cc9f739bfcd,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 26, 'max_features': 'sqrt', 'n_estimators': 594, 'min_samples_leaf': 1, 'min_samples_split': 35}",,Hyperband,4.0,4.0,1.0,100.0,0.611,0.30042,{'alpha': 1},validation,pp = 1000,0.611,0.30042,1,1.0,HB,0.525,0.38121,Donors Choose,precision,poverty_level_min_tpr_disparity
121,91b249c337937dc48b614bfd6625c807,c209eff3650c7b0277abe03c7edbd91a,0.609,53de1387397fe6b841ad1419c23fa941,5b3f69d4e89ee8d55f68d8ec5b44009f,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 34, 'max_features': 'sqrt', 'n_estimators': 406, 'min_samples_leaf': 19, 'min_samples_split': 39}",,Hyperband,4.0,4.0,1.0,100.0,0.609,0.25368,{'alpha': 1},validation,pp = 1000,0.609,0.25368,1,1.0,HB,0.533,0.324,Donors Choose,precision,poverty_level_min_tpr_disparity
6,91b249c337937dc48b614bfd6625c807,c2fa4fb35148bd9cc0c6d1978aba7e79,0.604,2e85832e9cc30b8e62b6feb4f5e3cfc6,daad65bfc1f894ed332619c0edd0e20c,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 33, 'max_features': 'log2', 'n_estimators': 70, 'min_samples_leaf': 2, 'min_samples_split': 97}",,RandomSearch,,,,100.0,0.604,0.23085,{'alpha': 1},validation,pp = 1000,0.604,0.23085,1,,RS,0.536,0.29108,Donors Choose,precision,poverty_level_min_tpr_disparity
167,91b249c337937dc48b614bfd6625c807,c4f39ea82522fa454496c3a8fd337832,0.77061,69340746c4265270df033c7971c1caef,e8483f11a7e65a7d7018d575d6997367,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.0017383796149906892, 'model__dropout': 0.06548599037508095, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [500], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,3.0,2.0,3.0,33.333,0.548,0.99322,{'alpha': 0.5},validation,pp = 1000,0.548,0.99322,0.5,0.3333,FB (alpha=0.5),0.49,0.78619,Donors Choose,precision,poverty_level_min_tpr_disparity
82,91b249c337937dc48b614bfd6625c807,c88d4669cc718c9dd133e19c31e25f06,0.67179,23316d6b15b1cf6b5ef2e89bc17c3fa7,58da7fdde0be1c2656f3bb23664fc449,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0025224181309329956, 'model__dropout': 0.32259815362792754, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.01}",,Hyperband,4.0,1.0,27.0,3.704,0.549,0.98245,{'alpha': 'dynamic'},validation,pp = 1000,0.549,0.98245,dynamic,0.037,FB,0.515,0.8664,Donors Choose,precision,poverty_level_min_tpr_disparity
121,91b249c337937dc48b614bfd6625c807,ccce51140205a2787375edac3f165769,0.602,2dab02fc33962c3bc9185000e2e4d4e1,6684730180334fa490ad23aecb06a119,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 17, 'max_features': 'sqrt', 'n_estimators': 392, 'min_samples_leaf': 3, 'min_samples_split': 55}",,Hyperband,4.0,4.0,1.0,100.0,0.602,0.24703,{'alpha': 1},validation,pp = 1000,0.602,0.24703,1,1.0,HB,0.533,0.33353,Donors Choose,precision,poverty_level_min_tpr_disparity
110,91b249c337937dc48b614bfd6625c807,ce0da3fde6865e19af3fe79cb24dc5ee,0.65648,1c4ea016b700fbf75297165881d23ab3,f24088804e323e81f827187e6aa8480c,lightgbm.LGBMClassifier,"{'max_depth': 184, 'num_leaves': 57, 'n_estimators': 143, 'boosting_type': 'dart', 'learning_rate': 0.014745555174170843, 'min_child_samples': 31}",,Hyperband,4.0,2.0,9.0,11.111,0.532,0.99972,{'alpha': 'dynamic'},validation,pp = 1000,0.532,0.99972,dynamic,0.1111,FB,0.499,0.71248,Donors Choose,precision,poverty_level_min_tpr_disparity
10,91b249c337937dc48b614bfd6625c807,d574af4dc51419e22ebda6e42dd1a560,0.74615,4b431f785c6ae29d5e0089ee10bcabc6,ddacec2241dc3ffdda6195da04afa62d,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.0012270717199727684, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 2023}",,RandomSearch,,,,100.0,0.519,0.9733,{'alpha': 0.5},validation,pp = 1000,0.519,0.9733,0.5,,RS (alpha=0.5),0.509,0.80655,Donors Choose,precision,poverty_level_min_tpr_disparity
2,91b249c337937dc48b614bfd6625c807,d6abc0a9ab6415946d7b2dc1b751bc0d,0.72491,5b8ff2f74e27dabc4dc74ef58197fbce,779c0ab8161898cd3955053d6de4a111,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0008190662958486413, 'model__dropout': 0.2600526697709425, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [500], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,RandomSearch,,,,100.0,0.504,0.94581,{'alpha': 0.5},validation,pp = 1000,0.504,0.94581,0.5,,RS (alpha=0.5),0.493,0.80972,Donors Choose,precision,poverty_level_min_tpr_disparity
2,91b249c337937dc48b614bfd6625c807,da2577bf1f22883423fe081869e9be38,0.595,5969f7bf561ff4fe5cbf1422b8b9070d,967f7aac938ed748e69ccc4b4a398496,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 13, 'max_features': 'log2', 'n_estimators': 249, 'min_samples_leaf': 16, 'min_samples_split': 40}",,RandomSearch,,,,100.0,0.595,0.25067,{'alpha': 1},validation,pp = 1000,0.595,0.25067,1,,RS,0.538,0.3107,Donors Choose,precision,poverty_level_min_tpr_disparity
2,91b249c337937dc48b614bfd6625c807,dc3ea2504f1d0e920a26c1e3ec369bca,0.74957,b01e82d19e33338bf2b149c09540f42a,7a62061f6ddb47926a2ccb0c0494515f,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.006732664944468424, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 768}",,RandomSearch,,,,100.0,0.522,0.97714,{'alpha': 0.5},validation,pp = 1000,0.522,0.97714,0.5,,RS (alpha=0.5),0.507,0.78718,Donors Choose,precision,poverty_level_min_tpr_disparity
95,91b249c337937dc48b614bfd6625c807,e54886ee4751f33e77f3d16c19f796bd,0.6661,ac962c3ee4d6c60d29fea39bc7e6e47e,23dd0264a8f50a8abf9b22c93a6c3f16,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0036629642093026923, 'model__dropout': 0.333711338493914, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.9995], 'optimizer__amsgrad': True, 'model__hidden_layers': [20, 10], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,4.0,1.0,27.0,3.704,0.543,0.98133,{'alpha': 'dynamic'},validation,pp = 1000,0.543,0.98133,dynamic,0.037,FB,0.516,0.89034,Donors Choose,precision,poverty_level_min_tpr_disparity
192,91b249c337937dc48b614bfd6625c807,e6e922074fcb977df29a5c25cd429ff8,0.75879,72313d97f9d535d3909e71f21a4e99d9,8678f64b44621342aa51407d53a71c74,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 25, 'optimizer__lr': 0.0031736087738536384, 'model__dropout': 0.03845080398282921, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': True, 'model__hidden_layers': [50, 25], 'model__use_batch_norm': False, 'optimizer__weight_decay': 0.01}",,Hyperband,1.0,0.0,8.0,33.333,0.546,0.97158,{'alpha': 0.5},validation,pp = 1000,0.546,0.97158,0.5,0.3333,FB (alpha=0.5),0.509,0.96385,Donors Choose,precision,poverty_level_min_tpr_disparity
82,91b249c337937dc48b614bfd6625c807,f2a1f5893aa773d897f2fe6cb0ccb46d,0.73857,6e718f30f5edbc417bc893162e04ec67,f72d35b88d35997a84c4bed72fe62340,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 75, 'optimizer__lr': 0.000955711034886134, 'model__dropout': 0.2856928344629044, 'model__input_dim': 110, 'optimizer__betas': [0.9, 0.999], 'optimizer__amsgrad': False, 'model__hidden_layers': [100], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0.001}",,Hyperband,4.0,1.0,27.0,3.704,0.557,0.92013,{'alpha': 0.5},validation,pp = 1000,0.557,0.92013,0.5,0.037,FB (alpha=0.5),0.503,0.83141,Donors Choose,precision,poverty_level_min_tpr_disparity
19,91b249c337937dc48b614bfd6625c807,f45d33316862d36dd6d154da1bdadd30,0.75312,f3ff4fa7b4b9d04be7942cbac19ba222,83c30d415193b69d1bb32d73b4cf08d5,sklearn.linear_model.LogisticRegression,"{'C': 0.0001, 'tol': 0.008085935562610537, 'solver': 'liblinear', 'penalty': 'l1', 'max_iter': 123}",,RandomSearch,,,,100.0,0.514,0.99223,{'alpha': 0.5},validation,pp = 1000,0.514,0.99223,0.5,,RS (alpha=0.5),0.5,0.8079,Donors Choose,precision,poverty_level_min_tpr_disparity
28,91b249c337937dc48b614bfd6625c807,f6cb9ae8ff06e2b1dca53f0aba9a9b1a,0.77267,f01778f85c4fb5d593b626719022e4a0,5433bc5827e447bb0f27d2cd895407a9,lightgbm.LGBMClassifier,"{'max_depth': 11, 'num_leaves': 118, 'n_estimators': 999, 'boosting_type': 'dart', 'learning_rate': 0.01184181985240206, 'min_child_samples': 90}",,Hyperband,4.0,0.0,81.0,1.235,0.552,0.99333,{'alpha': 0.5},validation,pp = 1000,0.552,0.99333,0.5,0.0123,FB (alpha=0.5),0.52,0.93332,Donors Choose,precision,poverty_level_min_tpr_disparity
191,91b249c337937dc48b614bfd6625c807,f84adb955fbbed0b8b29e9ae8160e014,0.597,bb6b5e5f1dd285388ef91fb671381a70,85b2540ff63d97d1c1e7a363d63de923,sklearn.ensemble.RandomForestClassifier,"{'criterion': 'entropy', 'max_depth': 28, 'max_features': 'log2', 'n_estimators': 560, 'min_samples_leaf': 2, 'min_samples_split': 14}",,Hyperband,2.0,2.0,1.0,100.0,0.597,0.30966,{'alpha': 1},validation,pp = 1000,0.597,0.30966,1,1.0,HB,0.536,0.37024,Donors Choose,precision,poverty_level_min_tpr_disparity
11,91b249c337937dc48b614bfd6625c807,f84f8a9ede3237226889f7197163b359,0.64072,0d821facab8db125d1f2989634df0a15,307a7c603a483d3df645b35409804a42,fairautoml.nn.wrappers.FeedForwardClassifier,"{'batch_size': 2048, 'max_epochs': 50, 'optimizer__lr': 0.0005594807809685874, 'model__dropout': 0.05294764698412542, 'model__input_dim': 110, 'optimizer__betas': [0.95, 0.9995], 'optimizer__amsgrad': False, 'model__hidden_layers': [20, 20], 'model__use_batch_norm': True, 'optimizer__weight_decay': 0}",,Hyperband,4.0,0.0,81.0,1.235,0.516,0.99232,{'alpha': 'dynamic'},validation,pp = 1000,0.516,0.99232,dynamic,0.0123,FB,0.487,0.89235,Donors Choose,precision,poverty_level_min_tpr_disparity
